"","satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes"
"857","dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1612,3,5,3,5,4,3,4,4,2,4,3,1,2,4,0,0
"858","satisfied","Loyal Customer",56,"Business travel","Business",1689,3,5,3,3,1,2,5,4,4,4,4,5,4,5,15,18
"859","dissatisfied","Loyal Customer",43,"Personal Travel","Eco",586,4,2,3,4,5,3,3,1,1,3,1,1,1,3,0,0
"860","satisfied","Loyal Customer",45,"Business travel","Business",2195,3,3,3,3,2,2,4,2,2,2,2,1,2,1,120,110
"861","satisfied","Loyal Customer",45,"Personal Travel","Eco",1117,4,5,4,2,3,4,3,3,5,3,4,4,4,3,0,1
"862","satisfied","Loyal Customer",15,"Personal Travel","Eco",4302,3,3,2,3,3,4,3,3,1,2,3,5,5,3,0,0
"863","dissatisfied","Loyal Customer",55,"Business travel","Eco Plus",857,3,4,4,4,2,3,3,3,3,3,3,3,3,1,4,0
"864","satisfied","Loyal Customer",34,"Business travel","Business",1512,4,4,4,4,2,5,4,4,4,4,4,4,4,4,0,0
"865","satisfied","disloyal Customer",39,"Business travel","Business",2058,5,5,5,3,3,5,3,3,5,4,1,1,1,3,13,19
"866","dissatisfied","Loyal Customer",32,"Personal Travel","Eco",3969,3,4,3,5,4,3,5,4,3,4,4,5,4,4,8,0
"867","dissatisfied","disloyal Customer",24,"Business travel","Eco",1730,1,1,1,2,4,1,4,4,4,4,2,1,2,4,16,12
"868","dissatisfied","Loyal Customer",29,"Business travel","Eco Plus",1913,2,5,3,5,2,2,2,2,3,4,3,2,3,2,0,0
"869","satisfied","Loyal Customer",47,"Personal Travel","Eco Plus",3118,4,1,4,2,3,4,3,3,3,3,1,2,2,3,0,0
"870","dissatisfied","disloyal Customer",54,"Business travel","Eco",1313,3,0,3,3,4,3,4,4,5,1,5,1,3,4,9,0
"871","satisfied","Loyal Customer",58,"Business travel","Business",2664,5,5,5,5,3,4,5,4,4,4,4,4,4,4,35,37
"872","dissatisfied","disloyal Customer",21,"Business travel","Eco",1718,3,4,3,3,2,3,2,2,2,3,4,2,1,2,0,0
"873","dissatisfied","Loyal Customer",22,"Personal Travel","Eco",1182,2,5,2,2,4,2,4,4,1,2,3,5,3,4,0,0
"874","dissatisfied","disloyal Customer",36,"Business travel","Eco",1810,4,2,4,4,5,4,5,5,2,4,3,4,4,5,52,51
"875","satisfied","Loyal Customer",60,"Business travel","Business",724,3,3,3,3,4,5,4,5,5,5,5,4,5,3,0,0
"876","satisfied","Loyal Customer",37,"Personal Travel","Eco Plus",1849,4,4,4,3,3,4,3,3,4,2,5,5,4,3,7,4
"877","satisfied","Loyal Customer",35,"Business travel","Business",382,2,2,2,2,4,5,4,5,5,5,5,3,5,5,0,7
"878","satisfied","Loyal Customer",20,"Personal Travel","Eco",1898,5,5,2,2,3,2,1,3,5,5,4,4,4,3,0,0
"879","satisfied","Loyal Customer",50,"Business travel","Eco",251,5,5,5,5,2,4,4,5,5,5,5,4,5,4,0,0
"880","satisfied","Loyal Customer",15,"Personal Travel","Eco",1534,5,5,5,5,2,5,4,5,5,5,5,3,5,3,0,0
"881","satisfied","disloyal Customer",24,"Business travel","Business",2766,4,0,4,1,4,4,4,4,3,4,4,3,4,4,0,0
"882","dissatisfied","disloyal Customer",42,"Business travel","Business",1639,2,1,1,5,1,2,1,1,4,5,5,5,5,1,0,0
"883","satisfied","Loyal Customer",30,"Business travel","Eco Plus",2487,5,2,4,2,5,5,5,5,3,3,2,5,5,5,0,0
"884","dissatisfied","disloyal Customer",54,"Business travel","Business",2665,2,2,2,3,2,2,2,2,3,3,4,4,4,2,0,26
"885","satisfied","Loyal Customer",52,"Business travel","Eco Plus",338,5,5,5,5,2,1,4,5,5,5,5,4,5,5,7,5
"886","dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1224,2,4,2,5,1,2,5,1,4,5,4,5,5,1,0,46
"887","satisfied","Loyal Customer",46,"Personal Travel","Business",472,5,5,5,2,4,4,4,3,3,5,2,5,3,5,0,0
"888","satisfied","Loyal Customer",46,"Business travel","Business",3940,4,4,4,4,2,4,4,4,4,4,4,5,4,3,4,0
"889","satisfied","Loyal Customer",47,"Personal Travel","Eco",255,3,3,3,3,5,5,5,4,4,5,4,4,4,3,0,0
"890","dissatisfied","Loyal Customer",71,"Business travel","Eco Plus",1812,1,2,2,2,4,3,3,1,1,1,1,2,1,2,0,0
"891","satisfied","disloyal Customer",26,"Business travel","Business",1649,5,0,5,3,4,5,4,4,4,4,1,5,2,4,3,5
"892","satisfied","Loyal Customer",29,"Business travel","Business",2961,2,2,2,2,5,5,5,5,3,2,5,3,5,5,8,0
"893","satisfied","Loyal Customer",26,"Business travel","Business",2571,5,5,5,5,3,3,3,3,4,3,2,3,5,3,2,3
"894","satisfied","Loyal Customer",24,"Personal Travel","Eco",2117,3,3,3,3,3,5,5,5,5,5,5,4,5,4,0,0
"895","dissatisfied","Loyal Customer",41,"Personal Travel","Eco",3539,3,4,3,4,3,1,1,2,5,4,3,1,4,1,132,145
"896","satisfied","Loyal Customer",59,"Business travel","Business",453,5,5,5,5,3,4,5,2,2,2,2,3,2,3,0,7
"897","satisfied","Loyal Customer",45,"Business travel","Business",875,2,5,2,2,3,5,4,4,4,4,4,4,4,4,0,0
"898","dissatisfied","Loyal Customer",63,"Business travel","Eco",2830,3,5,5,5,3,3,3,3,4,1,2,1,3,3,1,0
"899","dissatisfied","Loyal Customer",35,"Personal Travel","Eco",2038,3,4,3,4,1,3,1,1,3,4,4,5,5,1,0,0
"900","dissatisfied","disloyal Customer",44,"Business travel","Eco",1138,3,1,3,2,4,3,4,4,3,3,3,1,2,4,0,6
"901","satisfied","Loyal Customer",41,"Business travel","Business",3131,3,3,3,3,2,4,5,4,4,4,4,3,4,5,17,22
"902","dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2074,2,2,2,4,2,3,3,4,4,4,3,3,3,3,116,146
"903","dissatisfied","Loyal Customer",70,"Personal Travel","Eco",2200,4,5,4,2,3,4,3,3,3,5,4,3,4,3,0,1
"904","satisfied","Loyal Customer",33,"Personal Travel","Business",438,5,5,5,4,2,4,5,1,1,5,3,3,1,5,0,0
"905","satisfied","Loyal Customer",48,"Business travel","Eco",120,4,2,5,5,4,1,1,4,4,4,4,1,4,1,0,0
"906","satisfied","Loyal Customer",39,"Business travel","Business",265,1,1,1,1,4,4,4,4,4,4,4,3,4,3,0,0
"907","satisfied","Loyal Customer",12,"Personal Travel","Eco",1747,4,5,5,2,5,5,5,5,5,5,4,3,4,5,0,0
"908","satisfied","Loyal Customer",47,"Business travel","Business",2331,3,3,4,3,4,4,1,4,4,4,4,5,4,4,46,34
"909","satisfied","Loyal Customer",54,"Business travel","Business",3341,2,2,2,2,4,5,5,5,5,5,5,3,5,3,0,0
"910","satisfied","Loyal Customer",27,"Personal Travel","Eco",1772,1,1,3,1,5,5,5,5,5,5,5,5,4,5,0,0
"911","dissatisfied","disloyal Customer",18,"Business travel","Eco",1773,4,5,5,3,1,5,5,1,2,1,4,1,3,1,29,21
"912","satisfied","Loyal Customer",52,"Business travel","Business",1621,5,5,4,5,4,5,5,4,4,5,4,5,4,4,0,0
"913","satisfied","Loyal Customer",56,"Business travel","Business",440,1,1,1,1,5,5,5,4,4,4,4,5,4,4,0,0
"914","dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2595,3,4,3,2,3,3,1,3,3,2,4,3,5,3,122,93
"915","dissatisfied","disloyal Customer",26,"Business travel","Business",2372,1,1,1,4,1,1,1,1,5,2,5,5,4,1,90,89
"916","dissatisfied","Loyal Customer",13,"Personal Travel","Eco",1991,2,4,2,3,3,2,3,3,1,4,4,2,1,3,0,0
"917","dissatisfied","disloyal Customer",34,"Business travel","Eco",2195,3,2,3,3,4,3,4,4,4,4,3,4,3,4,68,39
"918","satisfied","Loyal Customer",38,"Personal Travel","Eco",1920,4,4,4,4,5,4,5,5,4,3,4,3,3,5,0,9
"919","satisfied","Loyal Customer",45,"Business travel","Eco",1185,4,3,3,3,4,4,4,4,2,4,2,1,2,4,0,0
"920","dissatisfied","disloyal Customer",22,"Business travel","Eco",1810,1,4,1,4,3,1,4,3,1,1,4,1,3,3,0,0
"921","dissatisfied","disloyal Customer",34,"Business travel","Eco",1710,2,0,2,4,4,2,4,4,2,3,4,4,2,4,0,0
"922","dissatisfied","Loyal Customer",24,"Business travel","Business",3821,3,2,2,2,3,3,3,3,1,1,4,2,4,3,0,0
"923","satisfied","Loyal Customer",43,"Business travel","Business",2627,2,2,3,2,4,4,4,5,3,3,4,4,4,4,0,0
"924","dissatisfied","Loyal Customer",60,"Personal Travel","Eco",1774,2,0,2,4,2,2,3,2,5,4,5,3,5,2,0,0
"925","satisfied","Loyal Customer",27,"Business travel","Eco",2518,3,5,5,5,3,4,3,3,1,2,1,5,1,3,75,59
"926","dissatisfied","Loyal Customer",42,"Personal Travel","Eco",2738,2,4,2,3,5,2,1,5,5,4,4,5,5,5,0,0
"927","satisfied","Loyal Customer",49,"Personal Travel","Eco",649,3,3,3,3,5,5,4,5,5,5,5,3,5,5,13,17
"928","satisfied","Loyal Customer",43,"Business travel","Business",266,2,2,2,2,3,5,4,4,4,4,5,5,4,4,0,0
"929","dissatisfied","disloyal Customer",32,"Business travel","Business",1346,2,2,2,1,1,2,1,1,4,5,5,5,4,1,0,3
"930","satisfied","Loyal Customer",44,"Business travel","Business",632,5,5,5,5,3,4,4,5,5,5,5,3,5,4,0,0
"931","dissatisfied","disloyal Customer",33,"Business travel","Business",2391,2,2,2,4,2,3,3,5,3,4,4,3,5,3,124,133
"932","dissatisfied","disloyal Customer",37,"Business travel","Eco",1615,3,1,3,3,5,3,5,5,2,4,3,1,4,5,6,0
"933","dissatisfied","disloyal Customer",27,"Business travel","Business",1932,1,2,2,4,1,2,2,1,2,5,4,1,3,1,20,21
"934","dissatisfied","disloyal Customer",26,"Business travel","Business",1640,2,2,2,2,2,2,2,2,2,3,2,2,3,2,0,6
"935","dissatisfied","disloyal Customer",25,"Business travel","Business",1767,3,3,2,3,4,2,4,4,2,3,4,2,4,4,0,0
"936","satisfied","Loyal Customer",58,"Business travel","Business",209,4,4,4,4,3,4,5,4,4,4,4,4,4,3,0,0
"937","dissatisfied","Loyal Customer",33,"Business travel","Eco",2385,2,5,5,5,2,2,2,2,4,4,4,1,3,2,20,52
"938","dissatisfied","Loyal Customer",19,"Personal Travel","Eco Plus",1492,2,0,2,3,3,2,3,3,5,5,4,4,5,3,0,2
"939","satisfied","Loyal Customer",58,"Business travel","Business",2004,3,3,3,3,2,4,5,4,4,4,4,3,4,5,0,0
"940","satisfied","Loyal Customer",49,"Business travel","Business",3780,1,1,1,1,4,5,4,5,5,5,4,5,5,4,0,0
"941","satisfied","Loyal Customer",41,"Business travel","Business",471,1,1,5,1,3,4,4,4,4,4,4,3,4,4,0,0
"942","satisfied","Loyal Customer",60,"Business travel","Business",778,5,5,5,5,4,5,4,4,4,4,4,3,4,3,0,0
"943","satisfied","Loyal Customer",45,"Business travel","Business",2398,5,5,2,5,5,3,5,4,4,4,4,4,4,5,0,0
"944","satisfied","Loyal Customer",57,"Business travel","Business",1522,2,2,2,2,4,5,5,4,4,4,4,5,4,5,6,0
"945","dissatisfied","disloyal Customer",26,"Business travel","Business",2870,1,1,1,4,4,1,3,4,3,3,4,3,4,4,0,0
"946","dissatisfied","Loyal Customer",66,"Personal Travel","Eco",422,4,1,4,3,2,4,3,1,1,4,1,3,1,1,18,5
"947","dissatisfied","disloyal Customer",36,"Business travel","Business",1583,4,4,4,1,2,4,2,2,3,3,5,4,5,2,0,0
"948","satisfied","Loyal Customer",50,"Business travel","Business",659,3,3,3,3,3,5,4,4,4,4,4,5,4,4,1,0
"949","dissatisfied","disloyal Customer",18,"Business travel","Eco",1791,2,1,1,4,2,1,2,2,3,3,3,2,4,2,8,25
"950","satisfied","Loyal Customer",20,"Personal Travel","Eco",1338,4,4,4,4,5,4,4,5,5,5,5,4,5,5,0,0
"951","dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1632,3,3,3,4,4,3,1,4,3,5,4,4,3,4,42,40
"952","satisfied","Loyal Customer",58,"Business travel","Business",2044,3,3,3,3,5,5,4,4,4,4,4,3,4,3,0,0
"953","satisfied","Loyal Customer",15,"Personal Travel","Eco",2040,4,4,4,4,4,4,4,4,3,5,1,4,2,4,7,0
"954","satisfied","Loyal Customer",33,"Business travel","Business",1879,2,2,2,2,3,3,3,3,1,5,5,3,5,3,0,1
"955","dissatisfied","disloyal Customer",35,"Business travel","Business",2202,2,2,2,3,4,2,1,4,3,3,4,5,5,4,7,0
"956","satisfied","Loyal Customer",63,"Business travel","Eco",1562,4,2,2,2,4,4,4,4,1,3,5,5,5,4,0,0
"957","dissatisfied","Loyal Customer",35,"Personal Travel","Eco",1305,2,2,2,2,3,2,3,3,3,5,3,1,2,3,47,70
"958","satisfied","Loyal Customer",49,"Personal Travel","Business",206,1,1,4,1,5,4,5,4,4,4,4,4,4,3,10,1
"959","satisfied","Loyal Customer",47,"Business travel","Business",2469,1,1,1,1,3,5,5,5,5,5,5,4,5,5,14,0
"960","satisfied","Loyal Customer",47,"Business travel","Business",2195,1,1,1,1,2,5,4,5,5,5,5,4,5,3,0,0
"961","dissatisfied","Loyal Customer",52,"Business travel","Eco Plus",2418,3,1,4,1,3,3,3,3,3,5,3,1,3,3,1,0
"962","satisfied","Loyal Customer",60,"Business travel","Business",366,5,5,5,5,5,5,4,3,3,3,3,5,3,3,0,7
"963","satisfied","Loyal Customer",29,"Personal Travel","Eco",2308,5,4,5,4,3,5,3,3,3,5,5,5,4,3,0,0
"964","dissatisfied","Loyal Customer",46,"Business travel","Business",3506,3,1,1,1,3,4,3,3,3,3,3,2,3,3,0,0
"965","dissatisfied","Loyal Customer",17,"Personal Travel","Eco",1831,2,5,2,1,3,2,3,3,3,2,5,3,3,3,56,61
"966","satisfied","Loyal Customer",42,"Business travel","Business",2897,4,4,4,4,4,4,4,5,2,4,5,4,5,4,266,248
"967","satisfied","Loyal Customer",40,"Business travel","Business",2089,4,4,4,4,5,4,5,5,5,5,5,4,5,4,0,0
"968","satisfied","Loyal Customer",32,"Business travel","Business",3316,2,2,2,2,4,4,4,4,2,4,5,1,1,4,42,33
"969","satisfied","Loyal Customer",43,"Business travel","Business",1628,3,3,3,3,3,4,4,4,4,5,4,3,4,5,80,70
"970","dissatisfied","Loyal Customer",64,"Personal Travel","Eco",1498,3,1,3,4,4,3,4,4,2,3,3,2,3,4,16,15
"971","dissatisfied","Loyal Customer",59,"Business travel","Business",3869,3,4,2,2,5,3,4,3,3,3,3,3,3,1,13,19
"972","dissatisfied","Loyal Customer",31,"Personal Travel","Business",1468,3,3,3,3,4,3,4,4,3,2,4,2,1,4,0,0
"973","satisfied","Loyal Customer",26,"Business travel","Business",2808,4,5,4,4,5,5,5,5,5,2,4,5,5,5,0,0
"974","dissatisfied","Loyal Customer",45,"Personal Travel","Business",973,2,4,2,5,3,4,5,4,4,2,4,3,4,3,0,0
"975","dissatisfied","disloyal Customer",27,"Business travel","Eco",1499,2,0,1,4,3,1,3,3,2,1,1,3,3,3,0,0
"976","satisfied","Loyal Customer",57,"Business travel","Business",201,3,3,3,3,3,5,5,5,5,5,5,4,5,5,0,0
"977","dissatisfied","disloyal Customer",25,"Business travel","Eco",2223,1,1,1,5,5,1,5,5,3,5,5,4,5,5,0,0
"978","satisfied","Loyal Customer",41,"Personal Travel","Eco",2699,4,5,4,4,3,4,3,3,5,5,5,4,5,3,0,0
"979","dissatisfied","disloyal Customer",26,"Business travel","Eco",2696,3,3,3,1,1,3,1,1,4,3,5,1,1,1,0,0
"980","dissatisfied","disloyal Customer",38,"Business travel","Business",1342,3,3,3,3,5,3,5,5,4,4,4,4,5,5,0,0
"981","dissatisfied","Loyal Customer",21,"Personal Travel","Eco",2374,4,4,3,3,3,4,4,5,4,4,5,4,3,4,143,133
"982","satisfied","Loyal Customer",37,"Personal Travel","Eco",2018,2,2,2,2,4,4,4,4,5,1,3,3,2,4,0,0
"983","satisfied","Loyal Customer",52,"Business travel","Business",1747,2,2,2,2,5,4,5,2,2,2,2,4,2,5,0,0
"984","satisfied","Loyal Customer",41,"Business travel","Business",1631,1,1,1,1,3,5,5,4,4,4,4,5,4,3,0,0
"985","dissatisfied","Loyal Customer",41,"Business travel","Business",309,1,2,2,2,2,2,2,1,1,1,1,3,1,1,23,9
"986","dissatisfied","Loyal Customer",17,"Business travel","Business",1726,3,2,2,2,3,3,3,3,3,1,4,2,4,3,63,68
"987","satisfied","disloyal Customer",37,"Business travel","Business",2197,4,4,4,5,4,4,4,4,5,4,4,3,5,4,0,16
"988","satisfied","disloyal Customer",28,"Business travel","Business",2100,4,4,4,5,3,4,3,3,5,5,5,3,4,3,0,0
"989","dissatisfied","Loyal Customer",49,"Business travel","Business",326,3,1,1,1,2,2,2,3,3,2,3,4,3,3,2,0
"990","dissatisfied","Loyal Customer",32,"Personal Travel","Eco",2061,3,4,3,3,4,3,4,4,5,3,5,4,4,4,0,0
"991","satisfied","Loyal Customer",37,"Business travel","Business",91,3,3,3,3,4,2,3,3,3,4,3,4,3,3,16,5
"992","dissatisfied","Loyal Customer",14,"Personal Travel","Business",1597,4,2,4,4,3,4,3,3,1,2,3,3,4,3,0,0
"993","satisfied","Loyal Customer",72,"Business travel","Business",2320,1,1,1,1,1,5,2,4,4,4,4,2,4,1,1,0
"994","dissatisfied","disloyal Customer",23,"Business travel","Eco",1371,3,0,3,1,4,3,4,4,3,2,5,3,4,4,16,13
"995","satisfied","Loyal Customer",43,"Business travel","Business",2683,3,3,3,3,3,4,4,5,5,5,5,3,5,4,14,0
"996","satisfied","Loyal Customer",49,"Business travel","Business",3764,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0
"997","satisfied","Loyal Customer",49,"Business travel","Business",743,4,2,4,4,3,5,4,5,5,4,5,5,5,5,9,0
"998","satisfied","Loyal Customer",35,"Business travel","Business",2505,4,4,4,4,2,3,3,3,3,4,3,1,3,4,0,0
"999","dissatisfied","Loyal Customer",61,"Personal Travel","Eco Plus",2182,3,4,3,1,4,3,4,4,3,5,4,4,4,4,0,0
"1000","dissatisfied","Loyal Customer",32,"Business travel","Eco",1358,2,3,3,3,2,2,2,2,1,2,4,3,3,2,0,6
